_id,name,id
ObjectId("5de858562e0ddc657d1b6b4d"),Hospital Regional de Alta Especialidad de Ixtapaluca,HRAEI-320
ObjectId("5de858562e0ddc657d1b6b4e"),Nacional Financiera, S.N.C.,NAFIN-233
ObjectId("5de858562e0ddc657d1b6b4f"),El Colegio de la Frontera Sur,ECOSUR-123
ObjectId("5de858562e0ddc657d1b6b50"),Instituto Mexicano de la Propiedad Industrial,IMPI-188
ObjectId("5de858562e0ddc657d1b6b51"),Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,INER-204
ObjectId("5de858562e0ddc657d1b6b52"),Comisión Nacional para el Desarrollo de los Pueblos Indígenas,CDI-97
ObjectId("5de858562e0ddc657d1b6b53"),Instituto Nacional de Lenguas Indígenas,INALI-212
ObjectId("5de858562e0ddc657d1b6b54"),Instituto Nacional de Perinatología Isidro Espinosa de los Reyes,INPER-217
ObjectId("5de858562e0ddc657d1b6b55"),Instituto Potosino de Investigación Científica y Tecnológica, A.C.,IPICYT-229
ObjectId("5de858562e0ddc657d1b6b56"),Centro de Investigaciones y Estudios Superiores en Antropología Social,CIESAS-53
ObjectId("5de858562e0ddc657d1b6b57"),Instituto Nacional de Salud Pública,INSP-220
ObjectId("5de858562e0ddc657d1b6b58"),Comisión de Operación y Fomento de Actividades Académicas del Instituto Politécnico Nacional,COFAA-74
ObjectId("5de858562e0ddc657d1b6b59"),Fideicomiso de Fomento Minero,FIFOMI-133
ObjectId("5de858562e0ddc657d1b6b5a"),Instituto Federal de Telecomunicaciones,IFT-78
ObjectId("5de858562e0ddc657d1b6b5b"),Consejo de Promoción Turística de México, S.A. de C.V.,CPTM-109
ObjectId("5de858562e0ddc657d1b6b5c"),Centro Nacional de Control de Energía,CENACE-323
ObjectId("5de858562e0ddc657d1b6b5d"),Consejo Nacional de Evaluación de la Política de Desarrollo Social,CONEVAL-111
ObjectId("5de858562e0ddc657d1b6b5e"),Instituto de Ecología, A.C.,INECOL-175
ObjectId("5de858562e0ddc657d1b6b5f"),Ferrocarril del Istmo de Tehuantepec, S.A. de C.V.,FIT-131
